,Metabolite,Pvalues,Standardized_Difference_Control_minus_Heated,Actual_Difference_Control_minus_Heated,Control,Heated,ratio,significance.names(splitnn),Pvalues,stars
87,PE(16:1/17:0);PE(15:0/18:1).M,0.33421406,5.71E-01,1.57E+06,5121815.88,3553078.16,1.4415151,PE(16:1/17:0);PE(15:0/18:1).M,0.33421406,NA
88,PE(16:1/17:1)_A.M,0.501412594,3.78E-01,5.55E+05,2635107.71,2079875.54,1.2669545,PE(16:1/17:1)_A.M,0.501412594,NA
89,PE(16:1/17:1)_B.M,0.297084576,5.99E-01,4.20E+05,1209894.31,789771.13,1.5319556,PE(16:1/17:1)_B.M,0.297084576,NA
90,PE(16:1/18:1).M,0.290517424,6.77E-01,2.56E+06,6434936.46,3872335.84,1.6617713,PE(16:1/18:1).M,0.290517424,NA
91,PE(16:1/18:2).M,0.126662805,8.44E-01,1.02E+05,258976.38,156567.88,1.6540838,PE(16:1/18:2).M,0.126662805,NA
92,PE(16:1/19:1)_B.M,0.545592541,3.38E-01,1.14E+05,637764.83,523419.73,1.2184578,PE(16:1/19:1)_B.M,0.545592541,NA
93,PE(17:0/17:0).M,0.864481058,8.77E-02,1.07E+05,2088951.17,1982379.51,1.0537595,PE(17:0/17:0).M,0.864481058,NA
94,PE(17:0/18:1).M,0.955918137,-2.78E-02,-4.12E+04,1886591.45,1927768.25,0.9786402,PE(17:0/18:1).M,0.955918137,NA
95,PE(17:1/17:1).M,0.740549844,1.73E-01,9.52E+04,999224.38,904026.96,1.1053037,PE(17:1/17:1).M,0.740549844,NA
96,PE(17:1/18:1);PE(16:1/19:1)_A.M,0.561042042,3.59E-01,3.92E+05,1713835.53,1322037.88,1.2963589,PE(17:1/18:1);PE(16:1/19:1)_A.M,0.561042042,NA
97,PE(17:1/19:1).M,0.341758317,6.11E-01,1.88E+06,4972998.21,3088522.45,1.6101545,PE(17:1/19:1).M,0.341758317,NA
98,PE(18:1/18:1).M,0.645981584,2.37E-01,1.83E+06,11758351.75,9929075,1.1842344,PE(18:1/18:1).M,0.645981584,NA
